,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
841,2018,25 June 2018 (2018-06-25),17:00 MSK (UTC+3),Saudi Arabia,Egypt,2,1,"
Al-Faraj  45+6' (pen.)
Al-Dawsari  90+5'","
Salah  22'",0,0,0,0,Volgograd Arena, Volgograd,"36,823[148]",Wilmar Roldán (Colombia)
842,2018,15 June 2018 (2018-06-15),18:00 MSK (UTC+3),Morocco,Iran,0,1,,"
Bouhaddouz  90+5' (o.g.)",0,0,0,0,Krestovsky Stadium, Saint Petersburg,"62,548[149]",Cüneyt Çakır (Turkey)
843,2018,15 June 2018 (2018-06-15),21:00 MSK (UTC+3),Portugal,Spain,3,3,"
Ronaldo  4' (pen.), 44', 88'","
Costa  24', 55'
Nacho  58'",0,0,0,0,Fisht Olympic Stadium, Sochi,"43,866[150]",Gianluca Rocchi (Italy)
844,2018,20 June 2018 (2018-06-20),15:00 MSK (UTC+3),Portugal,Morocco,1,0,"
Ronaldo  4'",,0,0,0,0,Luzhniki Stadium, Moscow,"78,011[151]",Mark Geiger (United States)
845,2018,20 June 2018 (2018-06-20),21:00 MSK (UTC+3),Iran,Spain,0,1,,"
Costa  54'",0,0,0,0,Kazan Arena, Kazan,"42,718[152]",Andrés Cunha (Uruguay)
846,2018,25 June 2018 (2018-06-25),21:00 MSK (UTC+3),Iran,Portugal,1,1,"
Ansarifard  90+3' (pen.)","
Quaresma  45'",0,0,0,0,Mordovia Arena, Saransk,"41,685[153]",Enrique Cáceres (Paraguay)
847,2018,25 June 2018 (2018-06-25),20:00 KALT (UTC+2),Spain,Morocco,2,2,"
Isco  19'
Aspas  90+1'","
Boutaïb  14'
En-Nesyri  81'",0,0,0,0,Kaliningrad Stadium, Kaliningrad,"33,973[154]",Ravshan Irmatov (Uzbekistan)
848,2018,16 June 2018 (2018-06-16),13:00 MSK (UTC+3),France,Australia,2,1,"
Griezmann  58' (pen.)
Behich  81' (o.g.)","
Jedinak  62' (pen.)",0,0,0,0,Kazan Arena, Kazan,"41,279[155]",Andrés Cunha (Uruguay)
849,2018,16 June 2018 (2018-06-16),19:00 MSK (UTC+3),Peru,Denmark,0,1,,"
Poulsen  59'",0,0,0,0,Mordovia Arena, Saransk,"40,502[156]",Bakary Gassama (Gambia)
850,2018,21 June 2018 (2018-06-21),16:00 SAMT (UTC+4),Denmark,Australia,1,1,"
Eriksen  7'","
Jedinak  38' (pen.)",0,0,0,0,Cosmos Arena, Samara,"40,727[157]",Antonio Mateu Lahoz (Spain)
851,2018,21 June 2018 (2018-06-21),20:00 YEKT (UTC+5),France,Peru,1,0,"
Mbappé  34'",,0,0,0,0,Central Stadium, Yekaterinburg,"32,789[158]",Mohammed Abdulla Hassan Mohamed (United Arab Emirates)
852,2018,26 June 2018 (2018-06-26),17:00 MSK (UTC+3),Denmark,France,0,0,,,0,0,0,0,Luzhniki Stadium, Moscow,"78,011[159]",Sandro Ricci (Brazil)
853,2018,26 June 2018 (2018-06-26),17:00 MSK (UTC+3),Australia,Peru,0,2,,"
Carrillo  18'
Guerrero  50'",0,0,0,0,Fisht Olympic Stadium, Sochi,"44,073[160]",Sergei Karasev (Russia)
854,2018,16 June 2018 (2018-06-16),16:00 MSK (UTC+3),Argentina,Iceland,1,1,"
Agüero  19'","
Finnbogason  23'",0,0,0,0,Otkritie Arena, Moscow,"44,190[161]",Szymon Marciniak (Poland)
855,2018,16 June 2018 (2018-06-16),21:00 KALT (UTC+2),Croatia,Nigeria,2,0,"
Etebo  32' (o.g.)
Modrić  71' (pen.)",,0,0,0,0,Kaliningrad Stadium, Kaliningrad,"31,136[162]",Sandro Ricci (Brazil)
856,2018,21 June 2018 (2018-06-21),21:00 MSK (UTC+3),Argentina,Croatia,0,3,,"
Rebić  53'
Modrić  80'
Rakitić  90+1'",0,0,0,0,Nizhny Novgorod Stadium, Nizhny Novgorod,"43,319[163]",Ravshan Irmatov (Uzbekistan)
857,2018,22 June 2018 (2018-06-22),18:00 MSK (UTC+3),Nigeria,Iceland,2,0,"
Musa  49', 75'",,0,0,0,0,Volgograd Arena, Volgograd,"40,904[164]",Matthew Conger (New Zealand)
858,2018,26 June 2018 (2018-06-26),21:00 MSK (UTC+3),Nigeria,Argentina,1,2,"
Moses  51' (pen.)","
Messi  14'
Rojo  86'",0,0,0,0,Krestovsky Stadium, Saint Petersburg,"64,468[165]",Cüneyt Çakır (Turkey)
859,2018,26 June 2018 (2018-06-26),21:00 MSK (UTC+3),Iceland,Croatia,1,2,"
Sigurðsson  76' (pen.)","
Badelj  53'
Perišić  90'",0,0,0,0,Rostov Arena, Rostov-on-Don,"43,472[166]",Antonio Mateu Lahoz (Spain)
860,2018,17 June 2018 (2018-06-17),16:00 SAMT (UTC+4),Costa Rica,Serbia,0,1,,"
Kolarov  56'",0,0,0,0,Cosmos Arena, Samara,"41,432[167]",Malang Diedhiou (Senegal)
861,2018,17 June 2018 (2018-06-17),21:00 MSK (UTC+3),Brazil,Switzerland,1,1,"
Coutinho  20'","
Zuber  50'",0,0,0,0,Rostov Arena, Rostov-on-Don,"43,109[168]",César Arturo Ramos (Mexico)
862,2018,22 June 2018 (2018-06-22),15:00 MSK (UTC+3),Brazil,Costa Rica,2,0,"
Coutinho  90+1'
Neymar  90+7'",,0,0,0,0,Krestovsky Stadium, Saint Petersburg,"64,468[169]",Björn Kuipers (Netherlands)
863,2018,22 June 2018 (2018-06-22),20:00 KALT (UTC+2),Serbia,Switzerland,1,2,"
Mitrović  5'","
Xhaka  52'
Shaqiri  90'",0,0,0,0,Kaliningrad Stadium, Kaliningrad,"33,167[170]",Felix Brych (Germany)
864,2018,27 June 2018 (2018-06-27),21:00 MSK (UTC+3),Serbia,Brazil,0,2,,"
Paulinho  36'
Thiago Silva  68'",0,0,0,0,Otkritie Arena, Moscow,"44,190[171]",Alireza Faghani (Iran)
